SD,DN,Yield
S1,No,8.3
S1,No,10.3
S1,No,8
S1,No,8
S1,No,6
S1,No,8.5
S1,N1,9.3
S1,N1,9
S1,N1,9.5
S1,N1,11.7
S1,N1,11.3
S1,N1,10.7
S1,N2,11.3
S1,N2,11.5
S1,N2,11.3
S1,N2,11.7
S1,N2,14.7
S1,N2,15
S1,N3,10.5
S1,N3,15.7
S1,N3,10.5
S1,N3,11.7
S1,N3,10.3
S1,N3,15
S2,No,5.7
S2,No,4.5
S2,No,8.3
S2,No,8.5
S2,No,5.3
S2,No,4.3
S2,N1,4.7
S2,N1,5.3
S2,N1,8
S2,N1,9.3
S2,N1,5.3
S2,N1,6.7
S2,N2,5.3
S2,N2,5.5
S2,N2,8
S2,N2,8.7
S2,N2,8.5
S2,N2,11.3
S2,N3,6.5
S2,N3,8.3
S2,N3,8
S2,N3,9
S2,N3,6.3
S2,N3,8.5
S3,No,5
S3,No,4.7
S3,No,1.5
S3,No,3
S3,No,3.7
S3,No,4.5
S3,N1,7
S3,N1,8.3
S3,N1,2.5
S3,N1,3.5
S3,N1,6.7
S3,N1,4.5
S3,N2,3.3
S3,N2,3.3
S3,N2,2.5
S3,N2,1
S3,N2,6.3
S3,N2,8
S3,N3,2.7
S3,N3,4.3
S3,N3,1.3
S3,N3,2.5
S3,N3,4
S3,N3,7.7
